onset	duration	sample	trial_type	response_time	stim_file	value
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S -1
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 44
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 33
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 22
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 104
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  4
n/a	1.0000000000	n/a	Epoch	n/a	n/a	S 11
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S 103
n/a	1.0000000000	n/a	STATUS	n/a	n/a	S  3
